version,processes,run,total_execution_time,raw_output_file
sequential,1,1,26.876594,outputs\raw\baseline.txt
mpi1,1,1,28.079709,outputs\raw\mpi1_p1_run1.txt
mpi1,1,2,25.431295,outputs\raw\mpi1_p1_run2.txt
mpi1,1,3,26.874339,outputs\raw\mpi1_p1_run3.txt
mpi1,2,1,14.530604,outputs\raw\mpi1_p2_run1.txt
mpi1,2,2,14.255729,outputs\raw\mpi1_p2_run2.txt
mpi1,2,3,14.553288,outputs\raw\mpi1_p2_run3.txt
mpi1,4,1,9.577585,outputs\raw\mpi1_p4_run1.txt
mpi1,4,2,11.229220,outputs\raw\mpi1_p4_run2.txt
mpi1,4,3,10.660970,outputs\raw\mpi1_p4_run3.txt
mpi1,8,1,8.943007,outputs\raw\mpi1_p8_run1.txt
mpi1,8,2,8.288741,outputs\raw\mpi1_p8_run2.txt
mpi1,8,3,8.750497,outputs\raw\mpi1_p8_run3.txt
mpi2,1,1,30.683933,outputs\raw\mpi2_p1_run1.txt
mpi2,1,2,30.163059,outputs\raw\mpi2_p1_run2.txt
mpi2,1,3,29.160260,outputs\raw\mpi2_p1_run3.txt
mpi2,2,1,17.125671,outputs\raw\mpi2_p2_run1.txt
mpi2,2,2,16.993506,outputs\raw\mpi2_p2_run2.txt
mpi2,2,3,17.272314,outputs\raw\mpi2_p2_run3.txt
mpi2,4,1,12.776809,outputs\raw\mpi2_p4_run1.txt
mpi2,4,2,12.783447,outputs\raw\mpi2_p4_run2.txt
mpi2,4,3,12.526671,outputs\raw\mpi2_p4_run3.txt
mpi2,8,1,11.567369,outputs\raw\mpi2_p8_run1.txt
mpi2,8,2,11.246532,outputs\raw\mpi2_p8_run2.txt
mpi2,8,3,12.198686,outputs\raw\mpi2_p8_run3.txt
